Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns,Axiom,LogicalAxiomCount,ClassCount,ObjectPropertyCount,DataPropertyCount,IndividualCount,DLExpressivity,DeclarationAxiomsCount,SubClassOf,EquivalentClasses,DisjointClasses,GCICount,HiddenGCICount,SubObjectPropertyOf,EquivalentObjectProperties,TransitiveObjectProperty,ReflexiveObjectProperty,ObjectPropertyDomain,ObjectPropertyRange,SubPropertyChainOf,SubDataPropertyOf,EquivalentDataProperties,FunctionalDataProperty,DataPropertyDomain,DataPropertyRange,ClassAssertion,ObjectPropertyAssertion,DataPropertyAssertion,NegativeObjectPropertyAssertion,NegativeDataPropertyAssertion,SameIndividual,DifferentIndividuals,AnnotationAssertion,AnnotationPropertyDomain,AnnotationPropertyRangeOf,ABoxAxiomCount,TBoxAxiomCount,RBoxAxiomCount
approximated_a8f6019c-f34e-4418-af12-f0f464881e4c_VAST2009all.owl_functional.owl,888341025,11385536,899726561,41944,41925,13,7,0,6016,AL,19,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6015,35895,0,0,0,0,0,0,0,0,41910,15,0
approximated_cd75b3f9-a5f7-4436-bf9e-c73dea998d92_onto.rdf_functional.owl,22243733,101691,22345424,195,107,34,55,0,0,ALR,88,96,0,0,50,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,11
19c0e590-e643-49d7-b21f-2fc584b1ab11_t_annotate.obo_functional.owl,17589890,142232,17732122,263,164,91,8,0,0,ALEH+,99,158,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,6
approximated_0e041011-1e56-459a-a749-5038f476ca3e_fearlus.owl_functional.owl,18729432,119577,18849009,304,161,68,76,0,13,ALE,143,147,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,14,147,0
05aa3148-2984-473a-b4d7-5a97ef55b620_nsynset2D0.rdf_functional.owl,1254629347,3737871,1258367218,137530,69065,68466,0,0,0,AL,68465,69065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69065,0
approximated_a0f1fe03-9384-41b8-a338-81b935691ca7_dProtected.owl_functional.owl,101284876,396729,101681605,10280,6460,3569,253,0,1226,ALCRO,3820,4644,0,0,126,0,207,0,0,0,0,0,5,0,0,0,0,0,1303,31,0,0,0,177,93,0,0,0,1604,4644,212
aaff4dda-3125-4140-89fe-74647cbbba58_stdview.rdf_functional.owl,17339500,63516,17403016,390,217,172,1,0,1,AL,173,215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,216,0
approximated_36bf65ea-821a-4868-aaaa-ba268d25b06c_Bollard.ttl_functional.owl,19005750,78257,19084007,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_25026944-4e55-4055-9c7d-b733fd0752e8_Sight_glass.rdf_functional.owl,17202168,124893,17327061,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
mat.minimal-anatomical-terminology.2.owl.xml_functional.owl,20896932,98494,20995426,964,504,459,1,0,0,ALE,460,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0
approximated_00014.owl_functional.owl,31647066,103036,31750102,1596,1072,208,317,0,39,ALCRO,524,637,0,0,300,0,320,0,0,0,0,0,14,0,0,0,0,0,49,52,0,0,0,0,0,0,0,0,101,637,334
9b10aa7f-5d37-4a23-9dc8-c0e74b59d728_Film.owl_functional.owl,28578456,64003,28642459,1141,757,180,204,0,119,ALH,384,0,0,0,0,0,179,0,0,0,179,179,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,220,358,179
c4522b4a-8b40-45cd-a28e-130ae6f77616_loggerhead.obo_functional.owl,16510439,62312,16572751,658,347,308,3,0,0,ALE,311,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0
266078d7-4ebe-482d-98a2-090b4d640520_EbGdrcN5Y29ycA_functional.owl,14057548,75467,14133015,329,210,116,4,0,95,ALO,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,0,0,0,2,0,0,0,0,98,112,0
e24d6190-e9dd-4ffe-bb50-e13016b382d9_Company.owl_functional.owl,22503042,53352,22556394,283,164,54,65,0,9,ALH,119,0,0,0,0,0,53,0,0,0,53,53,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,106,53
approximated_74d155eb-2fac-447f-bc9d-a9a75b00a009_cery_store.ttl_functional.owl,13845706,56780,13902486,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_bspo.spatial-ontology.20.owl.xml_functional.owl,14550712,63252,14613964,438,270,135,33,0,0,ALER,168,252,0,0,1,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,18
approximated_23fee2e3-9ffc-4fce-86fd-342eeba74013_John_Dory.rdf_functional.owl,12883321,43081,12926402,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
