Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns,Axiom,LogicalAxiomCount,ClassCount,ObjectPropertyCount,DataPropertyCount,IndividualCount,DLExpressivity,DeclarationAxiomsCount,SubClassOf,EquivalentClasses,DisjointClasses,GCICount,HiddenGCICount,SubObjectPropertyOf,EquivalentObjectProperties,TransitiveObjectProperty,ReflexiveObjectProperty,ObjectPropertyDomain,ObjectPropertyRange,SubPropertyChainOf,SubDataPropertyOf,EquivalentDataProperties,FunctionalDataProperty,DataPropertyDomain,DataPropertyRange,ClassAssertion,ObjectPropertyAssertion,DataPropertyAssertion,NegativeObjectPropertyAssertion,NegativeDataPropertyAssertion,SameIndividual,DifferentIndividuals,AnnotationAssertion,AnnotationPropertyDomain,AnnotationPropertyRangeOf,ABoxAxiomCount,TBoxAxiomCount,RBoxAxiomCount
approximated_a8f6019c-f34e-4418-af12-f0f464881e4c_VAST2009all.owl_functional.owl,917908062,12249757,930157819,41944,41925,13,7,0,6016,AL,19,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6015,35895,0,0,0,0,0,0,0,0,41910,15,0
approximated_cd75b3f9-a5f7-4436-bf9e-c73dea998d92_onto.rdf_functional.owl,29423482,145437,29568919,195,107,34,55,0,0,ALR,88,96,0,0,50,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,11
19c0e590-e643-49d7-b21f-2fc584b1ab11_t_annotate.obo_functional.owl,24027867,149908,24177775,263,164,91,8,0,0,ALEH+,99,158,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,6
approximated_0e041011-1e56-459a-a749-5038f476ca3e_fearlus.owl_functional.owl,19463173,107284,19570457,304,161,68,76,0,13,ALE,143,147,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,14,147,0
05aa3148-2984-473a-b4d7-5a97ef55b620_nsynset2D0.rdf_functional.owl,1114056960,2913999,1116970959,137530,69065,68466,0,0,0,AL,68465,69065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69065,0
approximated_a0f1fe03-9384-41b8-a338-81b935691ca7_dProtected.owl_functional.owl,104484171,379013,104863184,10280,6460,3569,253,0,1226,ALCRO,3820,4644,0,0,126,0,207,0,0,0,0,0,5,0,0,0,0,0,1303,31,0,0,0,177,93,0,0,0,1604,4644,212
aaff4dda-3125-4140-89fe-74647cbbba58_stdview.rdf_functional.owl,15908596,62927,15971523,390,217,172,1,0,1,AL,173,215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,216,0
approximated_36bf65ea-821a-4868-aaaa-ba268d25b06c_Bollard.ttl_functional.owl,10726823,68554,10795377,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_25026944-4e55-4055-9c7d-b733fd0752e8_Sight_glass.rdf_functional.owl,17157221,162071,17319292,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
mat.minimal-anatomical-terminology.2.owl.xml_functional.owl,18098319,101758,18200077,964,504,459,1,0,0,ALE,460,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0
approximated_00014.owl_functional.owl,33325142,194116,33519258,1596,1072,208,317,0,39,ALCRO,524,637,0,0,300,0,320,0,0,0,0,0,14,0,0,0,0,0,49,52,0,0,0,0,0,0,0,0,101,637,334
9b10aa7f-5d37-4a23-9dc8-c0e74b59d728_Film.owl_functional.owl,22620814,90074,22710888,1141,757,180,204,0,119,ALH,384,0,0,0,0,0,179,0,0,0,179,179,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,220,358,179
c4522b4a-8b40-45cd-a28e-130ae6f77616_loggerhead.obo_functional.owl,20278710,46730,20325440,658,347,308,3,0,0,ALE,311,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0
266078d7-4ebe-482d-98a2-090b4d640520_EbGdrcN5Y29ycA_functional.owl,13968697,114629,14083326,329,210,116,4,0,95,ALO,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,0,0,0,2,0,0,0,0,98,112,0
e24d6190-e9dd-4ffe-bb50-e13016b382d9_Company.owl_functional.owl,18599036,42303,18641339,283,164,54,65,0,9,ALH,119,0,0,0,0,0,53,0,0,0,53,53,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,106,53
approximated_74d155eb-2fac-447f-bc9d-a9a75b00a009_cery_store.ttl_functional.owl,10425108,42200,10467308,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_bspo.spatial-ontology.20.owl.xml_functional.owl,11284031,46988,11331019,438,270,135,33,0,0,ALER,168,252,0,0,1,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,18
approximated_23fee2e3-9ffc-4fce-86fd-342eeba74013_John_Dory.rdf_functional.owl,4883295,40792,4924087,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_9833b76c-da15-4524-83af-85574d900520_u_dressing.rdf_functional.owl,19878072,43087,19921159,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_d5526c43-5838-4a9c-af57-b8f625e26237_Leerdammer.ttl_functional.owl,11405790,43775,11449565,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_cd8a38f3-171c-45fa-b461-fb3ce121cfb6_software.owl_functional.owl,9152848,42615,9195463,178,106,41,32,0,23,ALEH,72,70,0,0,24,0,13,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,70,13
approximated_kb-owl-syntax-unraveled-depth-3-km-relevant-cardinalities-triggers-relation-axioms.ofn_functional.owl,196993536,849960,197843496,22948,16495,6162,292,0,0,ALER,6453,16473,0,0,219,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16473,22
