Ontology,Axiom,LogicalAxiomCount,ClassCount,ObjectPropertyCount,DataPropertyCount,IndividualCount,DLExpressivity,DeclarationAxiomsCount,SubClassOf,EquivalentClasses,DisjointClasses,GCICount,HiddenGCICount,SubObjectPropertyOf,EquivalentObjectProperties,TransitiveObjectProperty,ReflexiveObjectProperty,ObjectPropertyDomain,ObjectPropertyRange,SubPropertyChainOf,SubDataPropertyOf,EquivalentDataProperties,FunctionalDataProperty,DataPropertyDomain,DataPropertyRange,ClassAssertion,ObjectPropertyAssertion,DataPropertyAssertion,NegativeObjectPropertyAssertion,NegativeDataPropertyAssertion,SameIndividual,DifferentIndividuals,AnnotationAssertion,AnnotationPropertyDomain,AnnotationPropertyRangeOf,ABoxAxiomCount,TBoxAxiomCount,RBoxAxiomCount
00138.owl_functional.owl,828,512,222,94,0,116,ALH,316,192,0,0,0,0,24,0,0,0,84,85,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,127,361,24
00140.owl_functional.owl,1478,1090,340,48,0,450,ALH,388,409,0,0,0,0,5,0,0,0,47,50,0,0,0,0,0,0,167,412,0,0,0,0,0,0,0,0,579,506,5
00142.owl_functional.owl,1903,1375,434,94,0,606,ALH,528,421,0,0,0,0,12,0,0,0,85,86,0,0,0,0,0,0,394,377,0,0,0,0,0,0,0,0,771,592,12
00143.owl_functional.owl,1402,1252,82,68,0,681,ALH,150,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,944,126,0,0,0,0,0,0,0,0,1070,167,15
00144.owl_functional.owl,4785,2750,1833,202,0,486,ALH,2035,1769,0,0,0,0,92,0,0,0,151,151,0,0,0,0,0,0,550,37,0,0,0,0,0,0,0,0,587,2071,92
00146.owl_functional.owl,2645,1779,630,236,0,329,ALH,866,696,0,0,0,0,87,0,0,0,215,213,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,568,1124,87
00147.owl_functional.owl,123,113,9,1,0,108,AL,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,110,3,0
00148.owl_functional.owl,1331,796,443,92,0,155,ALH,535,452,0,0,0,0,20,0,0,0,79,76,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,169,607,20
00177.owl_functional.owl,2129,1740,382,7,0,1384,AL,389,345,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,1384,0,0,0,0,0,0,0,0,0,1384,356,0
00304.owl_functional.owl,298,256,41,1,0,214,AL,42,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,219,37,0
